% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
23	1	5	1	0	0	81	0	1
24	1	12	2	0	0	81	0	1
25	1	1	3	0	0	81	0	1
26	1	13	4	0	0	81	0	1
27	1	5	1	0	0	81	0	1
28	1	20	13	0	0	81	0	1
29	1	2	14	0	0	81	0	1
30	1	14	15	0	0	81	0	1
31	1	11	16	0	0	81	0	1
32	1	12	2	0	28	2196	0	1
33	1	1	3	0	28	2196	0	1
34	1	17	27	0	0	81	0	1
35	1	19	28	0	0	81	0	1
36	1	3	29	0	0	81	0	1
37	1	18	30	0	0	81	0	1
38	1	13	4	0	28	2196	0	1
39	1	20	13	0	28	2196	0	1
40	1	9	36	0	0	81	0	1
41	1	10	37	0	0	81	0	1
42	1	7	38	0	0	81	0	1
43	1	6	39	0	0	81	0	1
44	1	2	14	0	28	2196	0	1
45	1	14	15	0	28	2196	0	1
46	1	4	42	0	0	81	0	1
47	1	8	43	0	0	81	0	1
48	1	16	44	0	0	81	0	1
49	1	15	45	0	0	81	0	1
50	1	11	16	0	28	2196	0	1
51	1	17	27	0	28	2196	0	1
52	1	19	28	0	28	2196	0	1
53	1	3	29	0	28	2196	0	1
54	1	18	30	0	28	2196	0	1
55	1	9	36	0	28	2196	0	1
56	1	10	37	0	28	2196	0	1
57	1	7	38	0	28	2196	0	1
58	1	6	39	0	28	2196	0	1
59	1	4	42	0	28	2196	0	1
60	1	8	43	0	28	2196	0	1
61	1	16	44	0	28	2196	0	1
62	1	15	45	0	28	2196	0	1
63	1	5	1	0	28	2196	0	1
64	1	12	2	0	28	2196	0	1
65	1	1	3	0	28	2196	0	1
66	1	13	4	0	28	2196	0	1
67	1	20	13	0	28	2196	0	1
68	1	2	14	0	28	2196	0	1
69	1	14	15	0	28	2196	0	1
70	1	11	16	0	28	2196	0	1
71	1	17	27	0	28	2196	0	1
72	1	19	28	0	28	2196	0	1
73	1	3	29	0	28	2196	0	1
74	1	18	30	0	28	2196	0	1
75	1	9	36	0	28	2196	0	1
76	1	10	37	0	28	2196	0	1
77	1	7	38	0	28	2196	0	1
78	1	6	39	0	28	2196	0	1
79	1	4	42	0	28	2196	0	1
80	1	8	43	0	28	2196	0	1
81	1	16	44	0	28	2196	0	1
82	1	15	45	0	28	2196	0	1
83	1	5	1	0	28	2196	0	1
84	1	12	2	0	28	2196	0	1
85	1	1	3	0	28	2196	0	1
86	1	13	4	0	28	2196	0	1
87	1	20	13	0	28	2196	0	1
88	1	2	14	0	28	2196	0	1
89	1	14	15	0	28	2196	0	1
90	1	11	16	0	28	2196	0	1
