% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
32	1	1	3	0	0	19	0	1
32	1	5	1	0	0	19	0	1
32	1	12	2	0	0	19	0	1
32	1	13	4	0	0	19	0	1
33	1	1	3	0	0	19	0	1
33	1	5	1	0	0	19	0	1
33	1	12	2	0	0	19	0	1
33	1	13	4	0	0	19	0	1
34	1	1	3	0	0	19	0	1
34	1	5	1	0	0	19	0	1
34	1	12	2	0	0	19	0	1
34	1	13	4	0	0	19	0	1
36	1	1	3	0	0	19	0	1
36	1	5	1	0	0	19	0	1
36	1	12	2	0	0	19	0	1
36	1	13	4	0	0	19	0	1
37	1	1	3	0	0	7	0	1
37	1	2	14	0	0	7	0	1
37	1	5	1	0	0	7	0	1
37	1	11	16	0	0	7	0	1
37	1	12	2	0	0	7	0	1
37	1	13	4	0	0	7	0	1
37	1	14	15	0	0	7	0	1
37	1	20	13	0	0	7	0	1
38	1	1	3	0	0	7	0	1
38	1	2	14	0	0	7	0	1
38	1	5	1	0	0	7	0	1
38	1	11	16	0	0	7	0	1
38	1	12	2	0	0	7	0	1
38	1	13	4	0	0	7	0	1
38	1	14	15	0	0	7	0	1
38	1	20	13	0	0	7	0	1
39	1	1	3	0	28	277	0	1
39	1	2	14	0	0	7	0	1
39	1	5	1	0	28	277	0	1
39	1	11	16	0	0	7	0	1
39	1	12	2	0	28	277	0	1
39	1	13	4	0	28	277	0	1
39	1	14	15	0	0	7	0	1
39	1	20	13	0	0	7	0	1
40	1	1	3	0	28	277	0	1
40	1	2	14	0	0	7	0	1
40	1	5	1	0	28	277	0	1
40	1	11	16	0	0	7	0	1
40	1	12	2	0	28	277	0	1
40	1	13	4	0	28	277	0	1
40	1	14	15	0	0	7	0	1
40	1	20	13	0	0	7	0	1
42	1	1	3	0	28	277	0	1
42	1	2	14	0	0	7	0	1
42	1	5	1	0	28	277	0	1
42	1	11	16	0	0	7	0	1
42	1	12	2	0	28	277	0	1
42	1	13	4	0	28	277	0	1
42	1	14	15	0	0	7	0	1
42	1	20	13	0	0	7	0	1
43	1	1	3	0	28	277	0	1
43	1	2	14	0	0	7	0	1
43	1	5	1	0	28	277	0	1
43	1	11	16	0	0	7	0	1
43	1	12	2	0	28	277	0	1
43	1	13	4	0	28	277	0	1
43	1	14	15	0	0	7	0	1
43	1	20	13	0	0	7	0	1
44	1	1	3	0	28	277	0	1
44	1	3	29	0	0	7	0	1
44	1	5	1	0	28	277	0	1
44	1	12	2	0	28	277	0	1
44	1	13	4	0	28	277	0	1
44	1	17	27	0	0	7	0	1
44	1	18	30	0	0	7	0	1
44	1	19	28	0	0	7	0	1
45	1	2	14	0	0	7	0	1
45	1	3	29	0	0	7	0	1
45	1	11	16	0	0	7	0	1
45	1	14	15	0	0	7	0	1
45	1	17	27	0	0	7	0	1
45	1	18	30	0	0	7	0	1
45	1	19	28	0	0	7	0	1
45	1	20	13	0	0	7	0	1
46	1	1	3	0	28	277	0	1
46	1	5	1	0	28	277	0	1
46	1	12	2	0	28	277	0	1
46	1	13	4	0	28	277	0	1
48	1	1	3	0	28	277	0	1
48	1	3	29	0	0	7	0	1
48	1	5	1	0	28	277	0	1
48	1	12	2	0	28	277	0	1
48	1	13	4	0	28	277	0	1
48	1	17	27	0	0	7	0	1
48	1	18	30	0	0	7	0	1
48	1	19	28	0	0	7	0	1
49	1	3	29	0	0	7	0	1
49	1	17	27	0	0	7	0	1
49	1	18	30	0	0	7	0	1
49	1	19	28	0	0	7	0	1
50	1	1	3	0	28	277	0	1
50	1	5	1	0	28	277	0	1
50	1	6	39	0	28	277	0	1
50	1	7	38	0	0	7	0	1
50	1	9	36	0	0	7	0	1
50	1	10	37	0	0	7	0	1
50	1	12	2	0	28	277	0	1
50	1	13	4	0	28	277	0	1
52	1	1	3	0	28	277	0	1
52	1	5	1	0	28	277	0	1
52	1	6	39	0	28	277	0	1
52	1	7	38	0	0	7	0	1
52	1	9	36	0	0	7	0	1
52	1	10	37	0	0	7	0	1
52	1	12	2	0	28	277	0	1
52	1	13	4	0	28	277	0	1
54	1	1	3	0	28	277	0	1
54	1	5	1	0	28	277	0	1
54	1	6	39	0	28	277	0	1
54	1	7	38	0	0	7	0	1
54	1	9	36	0	0	7	0	1
54	1	10	37	0	0	7	0	1
54	1	12	2	0	28	277	0	1
54	1	13	4	0	28	277	0	1
56	1	4	42	0	28	277	0	1
