% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.021	1	1	3	2	1	0	81	0	0
0.022	1	2	3	3	2	0	81	0	0
0.023	1	1	3	4	1	0	81	0	0
0.024	1	2	3	5	2	0	81	0	0
0.025	1	1	3	6	1	0	81	0	0
0.026	1	2	3	7	2	28	2196	0	0
0.027	1	1	3	8	1	28	2196	0	0
0.028	1	2	3	9	2	28	2196	0	0
0.029	1	1	3	10	1	28	2196	0	0
0.03	1	2	4	1	2	28	2196	0	0
0.031	1	1	4	2	1	28	2196	0	0
0.032	1	2	4	3	2	28	2196	0	0
0.033	1	1	4	4	1	28	2196	0	0
0.034	1	2	4	5	2	28	2196	0	0
0.035	1	1	4	6	1	28	2196	0	0
0.036	1	2	4	7	2	28	2196	0	0
0.037	1	1	4	8	1	28	2196	0	0
0.038	1	2	4	9	2	28	2196	0	0
0.039	1	1	4	10	1	28	2196	0	0
0.04	1	2	5	1	2	28	2196	0	0
0.041	1	1	5	2	1	28	2196	0	0
0.042	1	2	5	3	2	28	2196	0	0
0.043	1	1	5	4	1	28	2196	0	0
0.044	1	2	5	5	2	28	2196	0	0
0.045	1	1	5	6	1	28	2196	0	0
0.046	1	2	5	7	2	28	2196	0	0
0.047	1	1	5	8	1	28	2196	0	0
0.048	1	2	5	9	2	28	2196	0	0
0.049	1	1	5	10	1	28	2196	0	0
0.05	1	2	6	1	2	28	2196	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.052	1	2	6	3	2	28	2196	0	0
0.053	1	1	6	4	1	28	2196	0	0
0.054	1	2	6	5	2	28	2196	0	0
0.055	1	1	6	6	1	28	2196	0	0
0.056	1	2	6	7	2	28	2196	0	0
0.057	1	1	6	8	1	28	2196	0	0
0.058	1	2	6	9	2	28	2196	0	0
0.059	1	1	6	10	1	28	2196	0	0
0.06	1	2	7	1	2	28	2196	0	0
0.061	1	1	7	2	1	28	2196	0	0
0.062	1	2	7	3	2	28	2196	0	0
0.063	1	1	7	4	1	28	2196	0	0
0.064	1	2	7	5	2	28	2196	0	0
0.065	1	1	7	6	1	28	2196	0	0
0.066	1	2	7	7	2	28	2196	0	0
0.067	1	1	7	8	1	28	2196	0	0
0.068	1	2	7	9	2	28	2196	0	0
0.069	1	1	7	10	1	28	2196	0	0
0.07	1	2	8	1	2	28	2196	0	0
0.071	1	1	8	2	1	28	2196	0	0
0.072	1	2	8	3	2	28	2196	0	0
0.073	1	1	8	4	1	28	2196	0	0
0.074	1	2	8	5	2	28	2196	0	0
