% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
32	1	5	1	0	0	19	0	1	1
32	1	3	2	0	0	19	0	1	1
32	1	1	3	0	0	19	0	1	1
32	1	4	4	0	0	19	0	1	1
33	1	5	1	0	0	19	0	1	1
33	1	3	2	0	0	19	0	1	1
33	1	1	3	0	0	19	0	1	1
33	1	4	4	0	0	19	0	1	1
34	1	5	1	0	0	19	0	1	1
34	1	3	2	0	0	19	0	1	1
34	1	1	3	0	0	19	0	1	1
34	1	4	4	0	0	19	0	1	1
35	1	5	1	0	0	19	0	1	1
35	1	3	2	0	0	19	0	1	1
35	1	1	3	0	0	19	0	1	1
35	1	4	4	0	0	19	0	1	1
36	1	5	1	0	0	19	0	1	1
36	1	3	2	0	0	19	0	1	1
36	1	1	3	0	0	19	0	1	1
36	1	4	4	0	0	19	0	1	1
37	1	5	1	0	0	11	0	1	1
37	1	3	2	0	0	11	0	1	1
37	1	1	3	0	0	11	0	1	1
37	1	4	4	0	0	11	0	1	1
37	1	2	7	0	0	11	0	1	1
37	1	6	8	0	0	11	0	1	1
38	1	5	1	0	0	11	0	1	1
38	1	3	2	0	0	11	0	1	1
38	1	1	3	0	0	11	0	1	1
38	1	4	4	0	0	11	0	1	1
38	1	2	7	0	0	11	0	1	1
38	1	6	8	0	0	11	0	1	1
39	1	5	1	0	28	373	0	1	1
39	1	3	2	0	28	373	0	1	1
39	1	1	3	0	28	373	0	1	1
39	1	4	4	0	28	373	0	1	1
39	1	2	7	0	0	11	0	1	1
39	1	6	8	0	0	11	0	1	1
40	1	5	1	0	28	373	0	1	1
40	1	3	2	0	28	373	0	1	1
40	1	1	3	0	28	373	0	1	1
40	1	4	4	0	28	373	0	1	1
40	1	2	7	0	0	11	0	1	1
40	1	6	8	0	0	11	0	1	1
41	1	5	1	0	28	373	0	1	1
41	1	3	2	0	28	373	0	1	1
41	1	1	3	0	28	373	0	1	1
41	1	4	4	0	28	373	0	1	1
41	1	2	7	0	0	11	0	1	1
41	1	6	8	0	0	11	0	1	1
42	1	5	1	0	28	373	0	1	1
42	1	3	2	0	28	373	0	1	1
42	1	1	3	0	28	373	0	1	1
42	1	4	4	0	28	373	0	1	1
42	1	2	7	0	0	11	0	1	1
42	1	6	8	0	0	11	0	1	1
43	1	5	1	0	28	373	0	1	1
43	1	3	2	0	28	373	0	1	1
43	1	1	3	0	28	373	0	1	1
43	1	4	4	0	28	373	0	1	1
43	1	2	7	0	0	11	0	1	1
43	1	6	8	0	0	11	0	1	1
44	1	5	1	0	28	373	0	1	1
44	1	3	2	0	28	373	0	1	1
44	1	1	3	0	28	373	0	1	1
44	1	4	4	0	28	373	0	1	1
44	1	2	7	0	28	373	0	1	1
