% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	5	1	1.76517e+06
0.042	1	3	2	1.76517e+06
0.043	1	1	3	1.76517e+06
0.044	1	4	4	1.76517e+06
0.047	1	2	7	1.76517e+06
0.048	1	6	8	1.76517e+06
0.081	1	5	1	1.76517e+06
0.082	1	3	2	1.76517e+06
0.083	1	1	3	1.76517e+06
0.084	1	4	4	1.76517e+06
0.087	1	2	7	1.76517e+06
0.088	1	6	8	1.76517e+06
0.121	1	5	1	1.76517e+06
0.122	1	3	2	1.76517e+06
0.123	1	1	3	1.76517e+06
0.124	1	4	4	1.76517e+06
0.127	1	2	7	1.76517e+06
0.128	1	6	8	1.76517e+06
0.161	1	5	1	1.76517e+06
0.162	1	3	2	1.76517e+06
0.163	1	1	3	1.76517e+06
0.164	1	4	4	1.76517e+06
0.167	1	2	7	1.76517e+06
0.168	1	6	8	1.76517e+06
0.201	1	5	1	1.76517e+06
0.202	1	3	2	1.76517e+06
0.203	1	1	3	1.76517e+06
0.204	1	4	4	1.76517e+06
0.207	1	2	7	1.76517e+06
0.208	1	6	8	1.76517e+06
0.241	1	5	1	1.76517e+06
0.242	1	3	2	1.76517e+06
0.243	1	1	3	1.76517e+06
0.244	1	4	4	1.76517e+06
0.247	1	2	7	1.76517e+06
0.248	1	6	8	1.76517e+06
0.281	1	5	1	1.76517e+06
0.282	1	3	2	1.76517e+06
0.283	1	1	3	1.76517e+06
0.284	1	4	4	1.76517e+06
0.287	1	2	7	1.76517e+06
0.288	1	6	8	1.76517e+06
0.321	1	5	1	1.76517e+06
0.322	1	3	2	1.76517e+06
0.323	1	1	3	1.76517e+06
0.324	1	4	4	1.76517e+06
0.327	1	2	7	1.76517e+06
0.328	1	6	8	1.76517e+06
0.361	1	5	1	1.76517e+06
0.362	1	3	2	1.76517e+06
0.363	1	1	3	1.76517e+06
0.364	1	4	4	1.76517e+06
0.367	1	2	7	1.76517e+06
0.368	1	6	8	1.76517e+06
0.401	1	5	1	1.76517e+06
0.402	1	3	2	1.76517e+06
0.403	1	1	3	1.76517e+06
0.404	1	4	4	1.76517e+06
0.407	1	2	7	1.76517e+06
0.408	1	6	8	1.76517e+06
0.441	1	5	1	1.76517e+06
0.442	1	3	2	1.76517e+06
0.443	1	1	3	1.76517e+06
0.444	1	4	4	1.76517e+06
0.447	1	2	7	1.76517e+06
0.448	1	6	8	1.76517e+06
0.481	1	5	1	1.76517e+06
0.482	1	3	2	1.76517e+06
0.483	1	1	3	1.76517e+06
0.484	1	4	4	1.76517e+06
0.487	1	2	7	1.76517e+06
0.488	1	6	8	1.76517e+06
0.521	1	5	1	1.76517e+06
0.522	1	3	2	1.76517e+06
0.523	1	1	3	1.76517e+06
0.524	1	4	4	1.76517e+06
0.527	1	2	7	1.76517e+06
0.528	1	6	8	1.76517e+06
0.561	1	5	1	1.76517e+06
0.562	1	3	2	1.76517e+06
0.563	1	1	3	1.76517e+06
0.564	1	4	4	1.76517e+06
0.567	1	2	7	1.76517e+06
0.568	1	6	8	1.76517e+06
0.601	1	5	1	1.76517e+06
0.602	1	3	2	1.76517e+06
0.603	1	1	3	1.76517e+06
0.604	1	4	4	1.76517e+06
0.607	1	2	7	1.76517e+06
0.608	1	6	8	1.76517e+06
0.641	1	5	1	1.76517e+06
0.642	1	3	2	1.76517e+06
0.643	1	1	3	1.76517e+06
0.644	1	4	4	1.76517e+06
0.647	1	2	7	1.76517e+06
0.648	1	6	8	1.76517e+06
0.681	1	5	1	1.76517e+06
0.682	1	3	2	1.76517e+06
0.683	1	1	3	1.76517e+06
0.684	1	4	4	1.76517e+06
0.687	1	2	7	1.76517e+06
0.688	1	6	8	1.76517e+06
0.721	1	5	1	1.76517e+06
0.722	1	3	2	1.76517e+06
0.723	1	1	3	1.76517e+06
0.724	1	4	4	1.76517e+06
0.727	1	2	7	1.76517e+06
0.728	1	6	8	1.76517e+06
0.761	1	5	1	1.76517e+06
0.762	1	3	2	1.76517e+06
0.763	1	1	3	1.76517e+06
0.764	1	4	4	1.76517e+06
0.767	1	2	7	1.76517e+06
0.768	1	6	8	1.76517e+06
0.801	1	5	1	1.76517e+06
0.802	1	3	2	1.76517e+06
0.803	1	1	3	1.76517e+06
0.804	1	4	4	1.76517e+06
0.807	1	2	7	1.76517e+06
0.808	1	6	8	1.76517e+06
0.841	1	5	1	1.76517e+06
0.842	1	3	2	1.76517e+06
0.843	1	1	3	1.76517e+06
0.844	1	4	4	1.76517e+06
0.847	1	2	7	1.76517e+06
0.848	1	6	8	1.76517e+06
0.881	1	5	1	1.76517e+06
0.882	1	3	2	1.76517e+06
0.883	1	1	3	1.76517e+06
0.884	1	4	4	1.76517e+06
0.887	1	2	7	1.76517e+06
0.888	1	6	8	1.76517e+06
0.921	1	5	1	1.76517e+06
0.922	1	3	2	1.76517e+06
0.923	1	1	3	1.76517e+06
0.924	1	4	4	1.76517e+06
0.927	1	2	7	1.76517e+06
0.928	1	6	8	1.76517e+06
0.961	1	5	1	1.76517e+06
0.962	1	3	2	1.76517e+06
0.963	1	1	3	1.76517e+06
0.964	1	4	4	1.76517e+06
0.967	1	2	7	1.76517e+06
0.968	1	6	8	1.76517e+06
