% time	cellId	IMSI	frame	sframe	RNTI	mcsTb1	sizeTb1	mcsTb2	sizeTb2
0.025	1	1	3	6	1	0	81	0	0
0.04	1	1	5	1	1	28	2196	0	0
0.041	1	1	5	2	1	28	2196	0	0
0.051	1	1	6	2	1	28	2196	0	0
0.053	1	1	6	4	1	28	2196	0	0
0.061	1	1	7	2	1	28	2196	0	0
0.071	1	1	8	2	1	28	2196	0	0
0.081	1	1	9	2	1	28	2196	0	0
0.091	1	1	10	2	1	28	2196	0	0
0.101	1	1	11	2	1	28	2196	0	0
0.111	1	1	12	2	1	28	2196	0	0
0.121	1	1	13	2	1	28	2196	0	0
0.131	1	1	14	2	1	28	2196	0	0
0.141	1	1	15	2	1	28	2196	0	0
0.151	1	1	16	2	1	28	2196	0	0
0.161	1	1	17	2	1	28	2196	0	0
0.171	1	1	18	2	1	28	2196	0	0
0.181	1	1	19	2	1	28	2196	0	0
0.191	1	1	20	2	1	28	2196	0	0
0.201	1	1	21	2	1	28	2196	0	0
0.211	1	1	22	2	1	28	2196	0	0
0.213	1	1	22	4	1	28	2196	0	0
0.221	1	1	23	2	1	28	2196	0	0
0.231	1	1	24	2	1	28	2196	0	0
0.241	1	1	25	2	1	28	2196	0	0
0.251	1	1	26	2	1	28	2196	0	0
0.261	1	1	27	2	1	28	2196	0	0
0.271	1	1	28	2	1	28	2196	0	0
0.281	1	1	29	2	1	28	2196	0	0
0.291	1	1	30	2	1	28	2196	0	0
0.301	1	1	31	2	1	28	2196	0	0
0.311	1	1	32	2	1	28	2196	0	0
0.321	1	1	33	2	1	28	2196	0	0
0.331	1	1	34	2	1	28	2196	0	0
0.341	1	1	35	2	1	28	2196	0	0
0.351	1	1	36	2	1	28	2196	0	0
0.361	1	1	37	2	1	28	2196	0	0
0.371	1	1	38	2	1	28	2196	0	0
0.381	1	1	39	2	1	28	2196	0	0
0.391	1	1	40	2	1	28	2196	0	0
0.401	1	1	41	2	1	28	2196	0	0
0.411	1	1	42	2	1	28	2196	0	0
0.421	1	1	43	2	1	28	2196	0	0
0.431	1	1	44	2	1	28	2196	0	0
0.441	1	1	45	2	1	28	2196	0	0
0.451	1	1	46	2	1	28	2196	0	0
0.461	1	1	47	2	1	28	2196	0	0
0.471	1	1	48	2	1	28	2196	0	0
0.481	1	1	49	2	1	28	2196	0	0
0.491	1	1	50	2	1	28	2196	0	0
0.501	1	1	51	2	1	28	2196	0	0
0.501	2	1	51	2	1	0	81	0	0
0.502	2	1	51	3	1	0	81	0	0
0.503	2	1	51	4	1	0	81	0	0
0.504	2	1	51	5	1	0	81	0	0
0.505	2	1	51	6	1	0	81	0	0
0.506	2	1	51	7	1	0	81	0	0
0.507	2	1	51	8	1	0	81	0	0
0.508	1	1	51	9	1	28	2196	0	0
0.508	2	1	51	9	1	0	81	0	0
0.513	2	1	52	4	1	0	81	0	0
0.514	2	1	52	5	1	0	81	0	0
0.515	1	1	52	6	1	28	2196	0	0
0.515	2	1	52	6	1	0	81	0	0
0.516	2	1	52	7	1	0	81	0	0
0.517	2	1	52	8	1	0	81	0	0
0.518	2	1	52	9	1	0	81	0	0
0.519	2	1	52	10	1	0	81	0	0
0.52	2	1	53	1	1	0	81	0	0
0.521	1	1	53	2	1	28	2196	0	0
0.523	2	1	53	4	1	0	81	0	0
0.525	2	1	53	6	1	28	2196	0	0
0.531	2	1	54	2	1	28	2196	0	0
0.533	2	1	54	4	1	28	2196	0	0
0.534	2	1	54	5	1	28	2196	0	0
0.541	2	1	55	2	1	28	2196	0	0
0.551	2	1	56	2	1	28	2196	0	0
0.561	2	1	57	2	1	28	2196	0	0
0.569	2	1	57	10	1	28	2196	0	0
0.571	2	1	58	2	1	28	2196	0	0
0.581	2	1	59	2	1	28	2196	0	0
0.591	2	1	60	2	1	28	2196	0	0
0.601	2	1	61	2	1	28	2196	0	0
0.611	2	1	62	2	1	28	2196	0	0
0.621	2	1	63	2	1	28	2196	0	0
0.623	2	1	63	4	1	28	2196	0	0
0.631	2	1	64	2	1	28	2196	0	0
0.641	2	1	65	2	1	28	2196	0	0
0.651	2	1	66	2	1	28	2196	0	0
0.652	2	1	66	3	1	28	2196	0	0
0.653	2	1	66	4	1	28	2196	0	0
0.654	2	1	66	5	1	28	2196	0	0
0.655	2	1	66	6	1	28	2196	0	0
0.656	2	1	66	7	1	28	2196	0	0
0.657	2	1	66	8	1	28	2196	0	0
0.658	2	1	66	9	1	28	2196	0	0
0.663	2	1	67	4	1	28	2196	0	0
0.671	2	1	68	2	1	28	2196	0	0
0.679	2	1	68	10	1	28	2196	0	0
0.681	2	1	69	2	1	28	2196	0	0
0.691	2	1	70	2	1	28	2196	0	0
0.701	2	1	71	2	1	28	2196	0	0
0.703	2	1	71	4	1	28	2196	0	0
0.711	2	1	72	2	1	28	2196	0	0
0.721	2	1	73	2	1	28	2196	0	0
0.731	2	1	74	2	1	28	2196	0	0
0.741	2	1	75	2	1	28	2196	0	0
0.751	2	1	76	2	1	28	2196	0	0
0.761	2	1	77	2	1	28	2196	0	0
0.771	2	1	78	2	1	28	2196	0	0
0.781	2	1	79	2	1	28	2196	0	0
0.791	2	1	80	2	1	28	2196	0	0
0.801	2	1	81	2	1	28	2196	0	0
0.811	2	1	82	2	1	28	2196	0	0
0.821	2	1	83	2	1	28	2196	0	0
0.831	2	1	84	2	1	28	2196	0	0
0.841	2	1	85	2	1	28	2196	0	0
0.851	2	1	86	2	1	28	2196	0	0
