% time	cellId	IMSI	RNTI	txMode	layer	mcs	size	rv	ndi	correct
27	1	1	1	0	0	0	81	0	1	1
42	1	1	1	0	0	28	2196	0	1	1
43	1	1	1	0	0	28	2196	0	1	1
53	1	1	1	0	0	28	2196	0	1	1
55	1	1	1	0	0	28	2196	0	1	1
63	1	1	1	0	0	28	2196	0	1	1
73	1	1	1	0	0	28	2196	0	1	1
83	1	1	1	0	0	28	2196	0	1	1
93	1	1	1	0	0	28	2196	0	1	1
103	1	1	1	0	0	28	2196	0	1	1
113	1	1	1	0	0	28	2196	0	1	1
123	1	1	1	0	0	28	2196	0	1	1
133	1	1	1	0	0	28	2196	0	1	1
143	1	1	1	0	0	28	2196	0	1	1
153	1	1	1	0	0	28	2196	0	1	1
163	1	1	1	0	0	28	2196	0	1	1
173	1	1	1	0	0	28	2196	0	1	1
183	1	1	1	0	0	28	2196	0	1	1
193	1	1	1	0	0	28	2196	0	1	1
203	1	1	1	0	0	28	2196	0	1	1
213	1	1	1	0	0	28	2196	0	1	1
215	1	1	1	0	0	28	2196	0	1	1
223	1	1	1	0	0	28	2196	0	1	1
233	1	1	1	0	0	28	2196	0	1	1
243	1	1	1	0	0	28	2196	0	1	1
253	1	1	1	0	0	28	2196	0	1	1
263	1	1	1	0	0	28	2196	0	1	1
273	1	1	1	0	0	28	2196	0	1	1
283	1	1	1	0	0	28	2196	0	1	1
293	1	1	1	0	0	28	2196	0	1	1
303	1	1	1	0	0	28	2196	0	1	1
313	1	1	1	0	0	28	2196	0	1	1
323	1	1	1	0	0	28	2196	0	1	1
333	1	1	1	0	0	28	2196	0	1	1
343	1	1	1	0	0	28	2196	0	1	1
353	1	1	1	0	0	28	2196	0	1	1
363	1	1	1	0	0	28	2196	0	1	1
373	1	1	1	0	0	28	2196	0	1	1
383	1	1	1	0	0	28	2196	0	1	1
393	1	1	1	0	0	28	2196	0	1	1
403	1	1	1	0	0	28	2196	0	1	1
413	1	1	1	0	0	28	2196	0	1	1
423	1	1	1	0	0	28	2196	0	1	1
433	1	1	1	0	0	28	2196	0	1	1
443	1	1	1	0	0	28	2196	0	1	1
453	1	1	1	0	0	28	2196	0	1	1
463	1	1	1	0	0	28	2196	0	1	1
473	1	1	1	0	0	28	2196	0	1	1
483	1	1	1	0	0	28	2196	0	1	1
493	1	1	1	0	0	28	2196	0	1	1
503	1	1	1	0	0	28	2196	0	1	0
510	1	1	1	0	0	28	2196	1	0	0
517	1	1	1	0	0	28	2196	2	0	1
518	2	1	1	0	0	0	81	0	1	1
520	2	1	1	0	0	0	81	0	1	1
521	2	1	1	0	0	0	81	0	1	1
525	2	1	1	0	0	0	81	0	1	1
527	2	1	1	0	0	28	2196	0	1	1
533	2	1	1	0	0	28	2196	0	1	1
535	2	1	1	0	0	28	2196	0	1	1
536	2	1	1	0	0	28	2196	0	1	1
563	2	1	1	0	0	28	2196	0	1	1
571	2	1	1	0	0	28	2196	0	1	1
613	2	1	1	0	0	28	2196	0	1	1
633	2	1	1	0	0	28	2196	0	1	1
665	2	1	1	0	0	28	2196	0	1	1
673	2	1	1	0	0	28	2196	0	1	1
693	2	1	1	0	0	28	2196	0	1	1
703	2	1	1	0	0	28	2196	0	1	1
705	2	1	1	0	0	28	2196	0	1	1
713	2	1	1	0	0	28	2196	0	1	1
743	2	1	1	0	0	28	2196	0	1	1
753	2	1	1	0	0	28	2196	0	1	1
783	2	1	1	0	0	28	2196	0	1	1
803	2	1	1	0	0	28	2196	0	1	1
813	2	1	1	0	0	28	2196	0	1	1
843	2	1	1	0	0	28	2196	0	1	1
873	2	1	1	0	0	28	2196	0	1	1
913	2	1	1	0	0	28	2196	0	1	1
963	2	1	1	0	0	28	2196	0	1	1
993	2	1	1	0	0	28	2196	0	1	1
