% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
27	1	1	1	0	0	81	0	1
42	1	1	1	0	28	2196	0	1
43	1	1	1	0	28	2196	0	1
53	1	1	1	0	28	2196	0	1
55	1	1	1	0	28	2196	0	1
63	1	1	1	0	28	2196	0	1
73	1	1	1	0	28	2196	0	1
83	1	1	1	0	28	2196	0	1
93	1	1	1	0	28	2196	0	1
103	1	1	1	0	28	2196	0	1
113	1	1	1	0	28	2196	0	1
123	1	1	1	0	28	2196	0	1
133	1	1	1	0	28	2196	0	1
143	1	1	1	0	28	2196	0	1
153	1	1	1	0	28	2196	0	1
163	1	1	1	0	28	2196	0	1
173	1	1	1	0	28	2196	0	1
183	1	1	1	0	28	2196	0	1
193	1	1	1	0	28	2196	0	1
203	1	1	1	0	28	2196	0	1
213	1	1	1	0	28	2196	0	1
215	1	1	1	0	28	2196	0	1
223	1	1	1	0	28	2196	0	1
233	1	1	1	0	28	2196	0	1
243	1	1	1	0	28	2196	0	1
253	1	1	1	0	28	2196	0	1
263	1	1	1	0	28	2196	0	1
273	1	1	1	0	28	2196	0	1
283	1	1	1	0	28	2196	0	1
293	1	1	1	0	28	2196	0	1
303	1	1	1	0	28	2196	0	1
313	1	1	1	0	28	2196	0	1
323	1	1	1	0	28	2196	0	1
333	1	1	1	0	28	2196	0	1
343	1	1	1	0	28	2196	0	1
353	1	1	1	0	28	2196	0	1
363	1	1	1	0	28	2196	0	1
373	1	1	1	0	28	2196	0	1
383	1	1	1	0	28	2196	0	1
393	1	1	1	0	28	2196	0	1
403	1	1	1	0	28	2196	0	1
413	1	1	1	0	28	2196	0	1
423	1	1	1	0	28	2196	0	1
433	1	1	1	0	28	2196	0	1
443	1	1	1	0	28	2196	0	1
453	1	1	1	0	28	2196	0	1
463	1	1	1	0	28	2196	0	1
473	1	1	1	0	28	2196	0	1
483	1	1	1	0	28	2196	0	1
493	1	1	1	0	28	2196	0	1
503	1	1	1	0	28	2196	0	1
503	2	1	1	0	0	81	0	1
504	2	1	1	0	0	81	0	1
505	2	1	1	0	0	81	0	1
506	2	1	1	0	0	81	0	1
507	2	1	1	0	0	81	0	1
508	2	1	1	0	0	81	0	1
509	2	1	1	0	0	81	0	1
510	1	1	1	0	28	2196	1	0
510	2	1	1	0	0	81	0	1
515	2	1	1	0	0	81	0	1
516	2	1	1	0	0	81	0	1
517	1	1	1	0	28	2196	2	0
517	2	1	1	0	0	81	0	1
518	2	1	1	0	0	81	0	1
519	2	1	1	0	0	81	0	1
520	2	1	1	0	0	81	0	1
521	2	1	1	0	0	81	0	1
522	2	1	1	0	0	81	0	1
523	1	1	1	0	28	2196	0	1
525	2	1	1	0	0	81	0	1
527	2	1	1	0	28	2196	0	1
533	2	1	1	0	28	2196	0	1
535	2	1	1	0	28	2196	0	1
536	2	1	1	0	28	2196	0	1
543	2	1	1	0	28	2196	0	1
553	2	1	1	0	28	2196	0	1
563	2	1	1	0	28	2196	0	1
571	2	1	1	0	28	2196	0	1
573	2	1	1	0	28	2196	0	1
583	2	1	1	0	28	2196	0	1
593	2	1	1	0	28	2196	0	1
603	2	1	1	0	28	2196	0	1
613	2	1	1	0	28	2196	0	1
623	2	1	1	0	28	2196	0	1
625	2	1	1	0	28	2196	0	1
633	2	1	1	0	28	2196	0	1
643	2	1	1	0	28	2196	0	1
653	2	1	1	0	28	2196	0	1
654	2	1	1	0	28	2196	0	1
655	2	1	1	0	28	2196	0	1
656	2	1	1	0	28	2196	0	1
657	2	1	1	0	28	2196	0	1
658	2	1	1	0	28	2196	0	1
659	2	1	1	0	28	2196	0	1
660	2	1	1	0	28	2196	0	1
665	2	1	1	0	28	2196	0	1
673	2	1	1	0	28	2196	0	1
681	2	1	1	0	28	2196	0	1
683	2	1	1	0	28	2196	0	1
693	2	1	1	0	28	2196	0	1
703	2	1	1	0	28	2196	0	1
705	2	1	1	0	28	2196	0	1
713	2	1	1	0	28	2196	0	1
723	2	1	1	0	28	2196	0	1
733	2	1	1	0	28	2196	0	1
743	2	1	1	0	28	2196	0	1
753	2	1	1	0	28	2196	0	1
763	2	1	1	0	28	2196	0	1
773	2	1	1	0	28	2196	0	1
783	2	1	1	0	28	2196	0	1
793	2	1	1	0	28	2196	0	1
803	2	1	1	0	28	2196	0	1
813	2	1	1	0	28	2196	0	1
823	2	1	1	0	28	2196	0	1
833	2	1	1	0	28	2196	0	1
843	2	1	1	0	28	2196	0	1
853	2	1	1	0	28	2196	0	1
863	2	1	1	0	28	2196	0	1
873	2	1	1	0	28	2196	0	1
883	2	1	1	0	28	2196	0	1
893	2	1	1	0	28	2196	0	1
903	2	1	1	0	28	2196	0	1
913	2	1	1	0	28	2196	0	1
923	2	1	1	0	28	2196	0	1
933	2	1	1	0	28	2196	0	1
943	2	1	1	0	28	2196	0	1
953	2	1	1	0	28	2196	0	1
963	2	1	1	0	28	2196	0	1
973	2	1	1	0	28	2196	0	1
983	2	1	1	0	28	2196	0	1
993	2	1	1	0	28	2196	0	1
