% time	cellId	IMSI	frame	sframe	RNTI	mcs	size
0.033	1	1	4	4	1	0	85
0.036	1	1	4	7	1	0	85
0.037	1	1	4	8	1	0	85
0.038	1	1	4	9	1	0	85
0.039	1	1	4	10	1	0	85
0.04	1	1	5	1	1	28	2292
0.046	1	1	5	7	1	28	2292
0.049	1	1	5	10	1	28	2292
0.056	1	1	6	7	1	28	2292
0.066	1	1	7	7	1	28	2292
0.076	1	1	8	7	1	28	2292
0.086	1	1	9	7	1	28	2292
0.096	1	1	10	7	1	28	2292
0.106	1	1	11	7	1	28	2292
0.116	1	1	12	7	1	28	2292
0.126	1	1	13	7	1	28	2292
0.136	1	1	14	7	1	28	2292
0.146	1	1	15	7	1	28	2292
0.156	1	1	16	7	1	28	2292
0.166	1	1	17	7	1	28	2292
0.176	1	1	18	7	1	28	2292
0.186	1	1	19	7	1	28	2292
0.196	1	1	20	7	1	28	2292
0.206	1	1	21	7	1	28	2292
0.216	1	1	22	7	1	28	2292
0.226	1	1	23	7	1	28	2292
0.236	1	1	24	7	1	28	2292
0.246	1	1	25	7	1	28	2292
0.256	1	1	26	7	1	28	2292
0.266	1	1	27	7	1	28	2292
0.276	1	1	28	7	1	28	2292
0.286	1	1	29	7	1	28	2292
0.296	1	1	30	7	1	28	2292
0.306	1	1	31	7	1	28	2292
0.316	1	1	32	7	1	28	2292
0.326	1	1	33	7	1	28	2292
0.336	1	1	34	7	1	28	2292
0.346	1	1	35	7	1	28	2292
0.356	1	1	36	7	1	28	2292
0.366	1	1	37	7	1	28	2292
0.376	1	1	38	7	1	28	2292
0.386	1	1	39	7	1	28	2292
0.396	1	1	40	7	1	28	2292
0.406	1	1	41	7	1	28	2292
0.416	1	1	42	7	1	28	2292
0.426	1	1	43	7	1	28	2292
0.436	1	1	44	7	1	28	2292
0.446	1	1	45	7	1	28	2292
0.456	1	1	46	7	1	28	2292
0.466	1	1	47	7	1	28	2292
0.476	1	1	48	7	1	28	2292
0.486	1	1	49	7	1	28	2292
0.496	1	1	50	7	1	28	2292
0.506	1	1	51	7	1	28	2292
0.516	1	1	52	7	1	28	2292
0.526	2	1	53	7	1	28	2292
0.527	2	1	53	8	1	28	2292
0.536	2	1	54	7	1	28	2292
0.542	2	1	55	3	1	28	2292
0.546	2	1	55	7	1	28	2292
0.556	2	1	56	7	1	28	2292
0.562	2	1	57	3	1	28	2292
0.564	2	1	57	5	1	28	2292
0.566	2	1	57	7	1	28	2292
0.576	2	1	58	7	1	28	2292
0.586	2	1	59	7	1	28	2292
0.596	2	1	60	7	1	28	2292
0.606	2	1	61	7	1	28	2292
0.616	2	1	62	7	1	28	2292
0.626	2	1	63	7	1	28	2292
0.636	2	1	64	7	1	28	2292
0.644	2	1	65	5	1	28	2292
0.646	2	1	65	7	1	28	2292
0.647	2	1	65	8	1	28	2292
0.656	2	1	66	7	1	28	2292
0.657	2	1	66	8	1	28	2292
0.666	2	1	67	7	1	28	2292
0.672	2	1	68	3	1	28	2292
0.676	2	1	68	7	1	28	2292
0.677	2	1	68	8	1	28	2292
0.686	2	1	69	7	1	28	2292
0.696	2	1	70	7	1	28	2292
0.7	2	1	71	1	1	28	2292
0.706	2	1	71	7	1	28	2292
0.716	2	1	72	7	1	28	2292
0.726	2	1	73	7	1	28	2292
0.727	2	1	73	8	1	28	2292
0.736	2	1	74	7	1	28	2292
0.746	2	1	75	7	1	28	2292
0.756	2	1	76	7	1	28	2292
0.766	2	1	77	7	1	28	2292
0.776	2	1	78	7	1	28	2292
0.786	2	1	79	7	1	28	2292
0.796	2	1	80	7	1	28	2292
0.806	2	1	81	7	1	28	2292
0.816	2	1	82	7	1	28	2292
0.826	2	1	83	7	1	28	2292
0.836	2	1	84	7	1	28	2292
0.846	2	1	85	7	1	28	2292
0.856	2	1	86	7	1	28	2292
0.866	2	1	87	7	1	28	2292
0.876	2	1	88	7	1	28	2292
0.886	2	1	89	7	1	28	2292
0.896	2	1	90	7	1	28	2292
0.906	2	1	91	7	1	28	2292
0.907	2	1	91	8	1	28	2292
0.916	2	1	92	7	1	28	2292
0.917	2	1	92	8	1	28	2292
0.918	2	1	92	9	1	28	2292
0.926	2	1	93	7	1	28	2292
0.927	2	1	93	8	1	28	2292
0.936	2	1	94	7	1	28	2292
0.937	2	1	94	8	1	28	2292
0.938	2	1	94	9	1	28	2292
0.946	2	1	95	7	1	28	2292
0.947	2	1	95	8	1	28	2292
0.948	2	1	95	9	1	28	2292
0.956	2	1	96	7	1	28	2292
0.957	2	1	96	8	1	28	2292
0.958	2	1	96	9	1	28	2292
0.966	2	1	97	7	1	28	2292
0.967	2	1	97	8	1	28	2292
0.968	2	1	97	9	1	28	2292
0.976	2	1	98	7	1	28	2292
0.977	2	1	98	8	1	28	2292
0.986	2	1	99	7	1	28	2292
0.987	2	1	99	8	1	28	2292
0.996	2	1	100	7	1	28	2292
0.997	2	1	100	8	1	28	2292
