% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
24	1	0	1	0	0	19	0	1	1
39	1	0	1	0	0	85	0	1	1
42	1	0	1	0	0	85	0	1	1
43	1	0	1	0	0	85	0	1	1
44	1	0	1	0	0	85	0	1	1
45	1	0	1	0	0	85	0	1	1
46	1	0	1	0	28	2292	0	1	1
52	1	0	1	0	28	2292	0	1	1
55	1	0	1	0	28	2292	0	1	1
72	1	0	1	0	28	2292	0	1	1
82	1	0	1	0	28	2292	0	1	1
92	1	0	1	0	28	2292	0	1	1
102	1	0	1	0	28	2292	0	1	1
112	1	0	1	0	28	2292	0	1	1
122	1	0	1	0	28	2292	0	1	1
132	1	0	1	0	28	2292	0	1	1
142	1	0	1	0	28	2292	0	1	1
152	1	0	1	0	28	2292	0	1	1
162	1	0	1	0	28	2292	0	1	1
172	1	0	1	0	28	2292	0	1	1
182	1	0	1	0	28	2292	0	1	1
192	1	0	1	0	28	2292	0	1	1
202	1	0	1	0	28	2292	0	1	1
212	1	0	1	0	28	2292	0	1	1
222	1	0	1	0	28	2292	0	1	1
232	1	0	1	0	28	2292	0	1	1
242	1	0	1	0	28	2292	0	1	1
252	1	0	1	0	28	2292	0	1	1
262	1	0	1	0	28	2292	0	1	1
272	1	0	1	0	28	2292	0	1	1
282	1	0	1	0	28	2292	0	1	1
292	1	0	1	0	28	2292	0	1	1
302	1	0	1	0	28	2292	0	1	1
312	1	0	1	0	28	2292	0	1	1
322	1	0	1	0	28	2292	0	1	1
332	1	0	1	0	28	2292	0	1	1
342	1	0	1	0	28	2292	0	1	1
352	1	0	1	0	28	2292	0	1	1
362	1	0	1	0	28	2292	0	1	1
372	1	0	1	0	28	2292	0	1	1
382	1	0	1	0	28	2292	0	1	1
392	1	0	1	0	28	2292	0	1	1
402	1	0	1	0	28	2292	0	1	1
412	1	0	1	0	28	2292	0	1	1
422	1	0	1	0	28	2292	0	1	1
432	1	0	1	0	28	2292	0	1	1
442	1	0	1	0	28	2292	0	1	1
452	1	0	1	0	28	2292	0	1	1
462	1	0	1	0	28	2292	0	1	1
472	1	0	1	0	28	2292	0	1	1
482	1	0	1	0	28	2292	0	1	1
492	1	0	1	0	28	2292	0	1	1
502	1	0	1	0	28	2292	0	1	1
512	1	0	1	0	28	2292	0	1	1
532	2	1	1	0	28	2292	0	1	1
542	2	1	1	0	28	2292	0	1	1
548	2	1	1	0	28	2292	0	1	1
568	2	1	1	0	28	2292	0	1	1
572	2	1	1	0	28	2292	0	1	1
592	2	1	1	0	28	2292	0	1	1
602	2	1	1	0	28	2292	0	1	1
622	2	1	1	0	28	2292	0	1	1
632	2	1	1	0	28	2292	0	1	1
650	2	1	1	0	28	2292	0	1	1
663	2	1	1	0	28	2292	0	1	1
678	2	1	1	0	28	2292	0	1	1
682	2	1	1	0	28	2292	0	1	1
692	2	1	1	0	28	2292	0	1	1
702	2	1	1	0	28	2292	0	1	1
732	2	1	1	0	28	2292	0	1	1
733	2	1	1	0	28	2292	0	1	1
752	2	1	1	0	28	2292	0	1	1
762	2	1	1	0	28	2292	0	1	1
772	2	1	1	0	28	2292	0	1	1
782	2	1	1	0	28	2292	0	1	1
802	2	1	1	0	28	2292	0	1	1
822	2	1	1	0	28	2292	0	1	1
842	2	1	1	0	28	2292	0	1	1
852	2	1	1	0	28	2292	0	1	1
862	2	1	1	0	28	2292	0	1	1
882	2	1	1	0	28	2292	0	1	1
924	2	1	1	0	28	2292	0	1	1
964	2	1	1	0	28	2292	0	1	1
973	2	1	1	0	28	2292	0	1	1
982	2	1	1	0	28	2292	0	1	1
