% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	5343
0.081	1	1	1	5343.38
0.121	1	1	1	5343.77
0.161	1	1	1	5344.19
0.201	1	1	1	5344.62
0.241	1	1	1	5345.07
0.281	1	1	1	5345.54
0.321	1	1	1	5346.03
0.361	1	1	1	5346.54
0.401	1	1	1	5352.21
0.441	1	1	1	5352.68
0.481	1	1	1	5353.12
0.521	2	1	1	2941.38
0.561	2	1	1	5337.46
0.601	2	1	1	5337.56
0.641	2	1	1	5337.66
0.681	2	1	1	5335.25
0.721	2	1	1	5335.37
0.761	2	1	1	5335.49
0.801	2	1	1	5335.62
0.841	2	1	1	5335.74
0.881	2	1	1	5335.87
0.921	2	1	1	5336
0.961	2	1	1	5336.13
