% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi
39	1	1	1	0	0	85	0	1
42	1	1	1	0	0	85	0	1
43	1	1	1	0	0	85	0	1
44	1	1	1	0	0	85	0	1
45	1	1	1	0	0	85	0	1
46	1	1	1	0	28	2292	0	1
52	1	1	1	0	28	2292	0	1
55	1	1	1	0	28	2292	0	1
62	1	1	1	0	28	2292	0	1
72	1	1	1	0	28	2292	0	1
82	1	1	1	0	28	2292	0	1
92	1	1	1	0	28	2292	0	1
102	1	1	1	0	28	2292	0	1
112	1	1	1	0	28	2292	0	1
122	1	1	1	0	28	2292	0	1
132	1	1	1	0	28	2292	0	1
142	1	1	1	0	28	2292	0	1
152	1	1	1	0	28	2292	0	1
162	1	1	1	0	28	2292	0	1
172	1	1	1	0	28	2292	0	1
182	1	1	1	0	28	2292	0	1
192	1	1	1	0	28	2292	0	1
202	1	1	1	0	28	2292	0	1
212	1	1	1	0	28	2292	0	1
222	1	1	1	0	28	2292	0	1
232	1	1	1	0	28	2292	0	1
242	1	1	1	0	28	2292	0	1
252	1	1	1	0	28	2292	0	1
262	1	1	1	0	28	2292	0	1
272	1	1	1	0	28	2292	0	1
282	1	1	1	0	28	2292	0	1
292	1	1	1	0	28	2292	0	1
302	1	1	1	0	28	2292	0	1
312	1	1	1	0	28	2292	0	1
322	1	1	1	0	28	2292	0	1
332	1	1	1	0	28	2292	0	1
342	1	1	1	0	28	2292	0	1
352	1	1	1	0	28	2292	0	1
362	1	1	1	0	28	2292	0	1
372	1	1	1	0	28	2292	0	1
382	1	1	1	0	28	2292	0	1
392	1	1	1	0	28	2292	0	1
402	1	1	1	0	28	2292	0	1
412	1	1	1	0	28	2292	0	1
422	1	1	1	0	28	2292	0	1
432	1	1	1	0	28	2292	0	1
442	1	1	1	0	28	2292	0	1
452	1	1	1	0	28	2292	0	1
462	1	1	1	0	28	2292	0	1
472	1	1	1	0	28	2292	0	1
482	1	1	1	0	28	2292	0	1
492	1	1	1	0	28	2292	0	1
502	1	1	1	0	28	2292	0	1
512	1	1	1	0	28	2292	0	1
532	2	1	1	0	28	2292	0	1
533	2	1	1	0	28	2292	0	1
542	2	1	1	0	28	2292	0	1
548	2	1	1	0	28	2292	0	1
552	2	1	1	0	28	2292	0	1
568	2	1	1	0	28	2292	0	1
572	2	1	1	0	28	2292	0	1
592	2	1	1	0	28	2292	0	1
602	2	1	1	0	28	2292	0	1
622	2	1	1	0	28	2292	0	1
632	2	1	1	0	28	2292	0	1
650	2	1	1	0	28	2292	0	1
663	2	1	1	0	28	2292	0	1
678	2	1	1	0	28	2292	0	1
682	2	1	1	0	28	2292	0	1
692	2	1	1	0	28	2292	0	1
702	2	1	1	0	28	2292	0	1
732	2	1	1	0	28	2292	0	1
733	2	1	1	0	28	2292	0	1
752	2	1	1	0	28	2292	0	1
762	2	1	1	0	28	2292	0	1
772	2	1	1	0	28	2292	0	1
782	2	1	1	0	28	2292	0	1
802	2	1	1	0	28	2292	0	1
822	2	1	1	0	28	2292	0	1
842	2	1	1	0	28	2292	0	1
852	2	1	1	0	28	2292	0	1
862	2	1	1	0	28	2292	0	1
882	2	1	1	0	28	2292	0	1
924	2	1	1	0	28	2292	0	1
964	2	1	1	0	28	2292	0	1
973	2	1	1	0	28	2292	0	1
982	2	1	1	0	28	2292	0	1
1002	2	1	1	0	28	2292	0	1
