% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct
24	1	0	1	0	0	19	0	1	1
39	1	0	1	0	0	85	0	1	1
42	1	0	1	0	0	85	0	1	1
43	1	0	1	0	0	85	0	1	1
44	1	0	1	0	0	85	0	1	1
45	1	0	1	0	0	85	0	1	1
46	1	0	1	0	28	2292	0	1	1
52	1	0	1	0	28	2292	0	1	1
55	1	0	1	0	28	2292	0	1	1
72	1	0	1	0	28	2292	0	1	1
82	1	0	1	0	28	2292	0	1	1
92	1	0	1	0	28	2292	0	1	1
102	1	0	1	0	28	2292	0	1	1
112	1	0	1	0	28	2292	0	1	1
122	1	0	1	0	28	2292	0	1	1
132	1	0	1	0	28	2292	0	1	1
142	1	0	1	0	28	2292	0	1	1
152	1	0	1	0	28	2292	0	1	1
162	1	0	1	0	28	2292	0	1	1
172	1	0	1	0	28	2292	0	1	1
182	1	0	1	0	28	2292	0	1	1
192	1	0	1	0	28	2292	0	1	1
202	1	0	1	0	28	2292	0	1	1
212	1	0	1	0	28	2292	0	1	1
222	1	0	1	0	28	2292	0	1	1
232	1	0	1	0	28	2292	0	1	1
242	1	0	1	0	28	2292	0	1	1
252	1	0	1	0	28	2292	0	1	1
262	1	0	1	0	28	2292	0	1	1
272	1	0	1	0	28	2292	0	1	1
282	1	0	1	0	28	2292	0	1	1
292	1	0	1	0	28	2292	0	1	1
302	1	0	1	0	28	2292	0	1	1
312	1	0	1	0	28	2292	0	1	1
322	1	0	1	0	28	2292	0	1	1
332	1	0	1	0	28	2292	0	1	1
342	1	0	1	0	28	2292	0	1	1
352	1	0	1	0	28	2292	0	1	1
362	1	0	1	0	28	2292	0	1	1
372	1	0	1	0	28	2292	0	1	1
382	1	0	1	0	28	2292	0	1	1
392	1	0	1	0	28	2292	0	1	1
402	1	0	1	0	28	2292	0	1	1
412	1	0	1	0	28	2292	0	1	1
422	1	0	1	0	28	2292	0	1	1
432	1	0	1	0	28	2292	0	1	1
442	1	0	1	0	28	2292	0	1	1
452	1	0	1	0	28	2292	0	1	1
462	1	0	1	0	28	2292	0	1	1
472	1	0	1	0	28	2292	0	1	1
482	1	0	1	0	28	2292	0	1	1
492	1	0	1	0	28	2292	0	1	1
502	1	0	1	0	28	2292	0	1	1
512	1	0	1	0	28	2292	0	1	1
522	1	0	1	0	28	2292	0	1	1
532	1	0	1	0	28	2292	0	1	1
542	1	0	1	0	28	2292	0	1	1
552	1	0	1	0	28	2292	0	1	1
562	1	0	1	0	28	2292	0	1	1
572	1	0	1	0	28	2292	0	1	1
582	1	0	1	0	28	2292	0	1	1
592	1	0	1	0	28	2292	0	1	1
602	1	0	1	0	28	2292	0	1	1
612	1	0	1	0	28	2292	0	1	1
622	1	0	1	0	28	2292	0	1	1
632	1	0	1	0	28	2292	0	1	1
642	1	0	1	0	28	2292	0	1	1
652	1	0	1	0	28	2292	0	1	1
662	1	0	1	0	28	2292	0	1	1
672	1	0	1	0	28	2292	0	1	1
682	1	0	1	0	28	2292	0	1	1
692	1	0	1	0	28	2292	0	1	1
702	1	0	1	0	28	2292	0	1	1
712	1	0	1	0	28	2292	0	1	1
722	1	0	1	0	28	2292	0	1	1
732	1	0	1	0	28	2292	0	1	1
742	1	0	1	0	28	2292	0	1	1
752	1	0	1	0	28	2292	0	1	1
762	1	0	1	0	28	2292	0	1	1
772	1	0	1	0	28	2292	0	1	1
782	1	0	1	0	28	2292	0	1	1
792	1	0	1	0	28	2292	0	1	1
802	1	0	1	0	28	2292	0	1	1
812	1	0	1	0	28	2292	0	1	1
822	1	0	1	0	28	2292	0	1	1
832	1	0	1	0	28	2292	0	1	1
842	1	0	1	0	28	2292	0	1	1
852	1	0	1	0	28	2292	0	1	1
862	1	0	1	0	28	2292	0	1	1
872	1	0	1	0	28	2292	0	1	1
882	1	0	1	0	28	2292	0	1	1
892	1	0	1	0	28	2292	0	1	1
902	1	0	1	0	28	2292	0	1	1
912	1	0	1	0	28	2292	0	1	1
922	1	0	1	0	28	2292	0	1	1
932	1	0	1	0	28	2292	0	1	1
942	1	0	1	0	28	2292	0	1	1
952	1	0	1	0	28	2292	0	1	1
962	1	0	1	0	28	2292	0	1	1
972	1	0	1	0	28	2292	0	1	1
982	1	0	1	0	28	2292	0	1	1
992	1	0	1	0	28	2292	0	1	1
