% time	cellId	IMSI	RNTI	sinrLinear
0.041	1	1	1	5343
0.081	1	1	1	5343.38
0.121	1	1	1	5343.77
0.161	1	1	1	5344.19
0.201	1	1	1	5344.62
0.241	1	1	1	5345.07
0.281	1	1	1	5345.54
0.321	1	1	1	5346.03
0.361	1	1	1	5346.54
0.401	1	1	1	5352.21
0.441	1	1	1	5352.68
0.481	1	1	1	5353.12
0.521	1	1	1	5353.52
0.561	1	1	1	5353.87
0.601	1	1	1	5354.15
0.641	1	1	1	5354.34
0.681	1	1	1	5350.54
0.721	1	1	1	5351.13
0.761	1	1	1	5351.74
0.801	1	1	1	5352.36
0.841	1	1	1	5352.98
0.881	1	1	1	5353.6
0.921	1	1	1	5354.22
0.961	1	1	1	5354.82
